tahun,nama_profesi,jumlah_peserta,keterangan
2019,Profesi Life Guard,0,Pendaftar
2019,Profesi Life Guard,0,Peserta Lulus
2019,Profesi Life Guard,0,Peserta Tidak Lulus
2019,Profesi Bell Boy,40,Pendaftar
2019,Profesi Bell Boy,27,Peserta Lulus
2019,Profesi Bell Boy,13,Peserta Tidak Lulus
2019,Profesi Waiter/Waitres,80,Pendaftar
2019,Profesi Waiter/Waitres,67,Peserta Lulus
2019,Profesi Waiter/Waitres,0,Peserta Tidak Lulus
2019,Profesi Head Waiter/Waitress,0,Pendaftar
2019,Profesi Head Waiter/Waitress,0,Peserta Lulus
2019,Profesi Head Waiter/Waitress,0,Peserta Tidak Lulus
2019,Profesi Room Attendant,0,Pendaftar
2019,Profesi Room Attendant,0,Peserta Lulus
2019,Profesi Room Attendant,0,Peserta Tidak Lulus
2019,Profesi Bartender,54,Pendaftar
2019,Profesi Bartender,50,Peserta Lulus
2019,Profesi Bartender,3,Peserta Tidak Lulus
2019,Profesi Juru Masak,0,Pendaftar
2019,Profesi Juru Masak,0,Peserta Lulus
2019,Profesi Juru Masak,0,Peserta Tidak Lulus
2019,Profesi Receptionist,41,Pendaftar
2019,Profesi Receptionist,41,Peserta Lulus
2019,Profesi Receptionist,0,Peserta Tidak Lulus
2019,Profesi Pramuwisata Muda,41,Pendaftar
2019,Profesi Pramuwisata Muda,38,Peserta Lulus
2019,Profesi Pramuwisata Muda,1,Peserta Tidak Lulus
2019,Profesi Pramuwisata Madya,33,Pendaftar
2019,Profesi Pramuwisata Madya,21,Peserta Lulus
2019,Profesi Pramuwisata Madya,3,Peserta Tidak Lulus
2019,Profesi Tour Leader,0,Pendaftar
2019,Profesi Tour Leader,0,Peserta Lulus
2019,Profesi Tour Leader,0,Peserta Tidak Lulus
2019,Profesi Security Hotel/Cafe,0,Pendaftar
2019,Profesi Security Hotel/Cafe,0,Peserta Lulus
2019,Profesi Security Hotel/Cafe,0,Peserta Tidak Lulus
2019,Profesi Staf Museum,37,Pendaftar
2019,Profesi Staf Museum,15,Peserta Lulus
2019,Profesi Staf Museum,15,Peserta Tidak Lulus
2019,Profesi Staf Fasilitas Rekreasi,0,Pendaftar
2019,Profesi Staf Fasilitas Rekreasi,0,Peserta Lulus
2019,Profesi Staf Fasilitas Rekreasi,0,Peserta Tidak Lulus
2019,Profesi Petugas Angkutan Wisata,0,Pendaftar
2019,Profesi Petugas Angkutan Wisata,0,Peserta Lulus
2019,Profesi Petugas Angkutan Wisata,0,Peserta Tidak Lulus
2019,Profesi TOT Hotel/Cafe,0,Pendaftar
2019,Profesi TOT Hotel/Cafe,0,Peserta Lulus
2019,Profesi TOT Hotel/Cafe,0,Peserta Tidak Lulus
