tahun,pintu_masuk,jumlah
1995,Bandar Udara Soekarno-Hatta ,1259264
1996,Bandar Udara Soekarno-Hatta ,1565706
1997,Bandar Udara Soekarno-Hatta ,1486646
1998,Bandar Udara Soekarno-Hatta ,883016
1999,Bandar Udara Soekarno-Hatta ,819318
2000,Bandar Udara Soekarno-Hatta ,1134496
1995,Bandar Udara Ngurah Rai ,1065313
1996,Bandar Udara Ngurah Rai ,1194793
1997,Bandar Udara Ngurah Rai ,1297551
1998,Bandar Udara Ngurah Rai ,1246289
1999,Bandar Udara Ngurah Rai ,1399571
2000,Bandar Udara Ngurah Rai ,0
1995,Bandar Udara Polonia ,217647
1996,Bandar Udara Polonia ,225368
1997,Bandar Udara Polonia ,175474
1998,Bandar Udara Polonia ,70441
1999,Bandar Udara Polonia ,76097
2000,Bandar Udara Polonia ,0
1995,Batam ,941415
1996,Batam ,1048119
1997,Batam ,1112565
1998,Batam ,1173392
1999,Batam ,1248791
2000,Batam ,0
1995,Lainnya ,834418
1996,Lainnya ,160561
1997,Lainnya ,147342
1998,Lainnya ,391512
1999,Lainnya ,376539
2000,Lainnya ,53280
