tahun,bulan,jenis_hotel,jumlah,keterangan
2017,1,Bintang 5,"72,2",%
2017,2,Bintang 5,"45,1",%
2017,3,Bintang 5,"65,1",%
2017,4,Bintang 5,"59,2",%
2017,5,Bintang 5,"96,2",%
2017,6,Bintang 5,"65,2",%
2017,7,Bintang 5,"72,2",%
2017,8,Bintang 5,"63,1",%
2017,9,Bintang 5,"27,1",%
2017,10,Bintang 5,"94,1",%
2017,11,Bintang 5,"35,1",%
2017,12,Bintang 5,"75,2",%
2017,1,Bintang 4,"98,2",%
2017,2,Bintang 4,"82,1",%
2017,3,Bintang 4,"8,1",%
2017,4,Bintang 4,"17,3",%
2017,5,Bintang 4,"05,3",%
2017,6,Bintang 4,"54,2",%
2017,7,Bintang 4,"36,2",%
2017,8,Bintang 4,"8,1",%
2017,9,Bintang 4,"94,2",%
2017,10,Bintang 4,"09,2",%
2017,11,Bintang 4,"9,1",%
2017,12,Bintang 4,"84,1",%
2017,1,Bintang 3,"79,3",%
2017,2,Bintang 3,"14,2",%
2017,3,Bintang 3,"09,1",%
2017,4,Bintang 3,"11,4",%
2017,5,Bintang 3,"93,2",%
2017,6,Bintang 3,"72,3",%
2017,7,Bintang 3,"16,2",%
2017,8,Bintang 3,"51,1",%
2017,9,Bintang 3,"84,2",%
2017,10,Bintang 3,"08,1",%
2017,11,Bintang 3,"86,1",%
2017,12,Bintang 3,"87,2",%
2017,1,Bintang 2,"58,1",%
2017,2,Bintang 2,"38,1",%
2017,3,Bintang 2,"78,1",%
2017,4,Bintang 2,"49,1",%
2017,5,Bintang 2,"93,2",%
2017,6,Bintang 2,"93,1",%
2017,7,Bintang 2,"55,1",%
2017,8,Bintang 2,"75,1",%
2017,9,Bintang 2,"62,1",%
2017,10,Bintang 2,"84,1",%
2017,11,Bintang 2,"19,1",%
2017,12,Bintang 2,"63,1",%
2017,1,Bintang 1,"24,2",%
2017,2,Bintang 1,"33,1",%
2017,3,Bintang 1,"33,1",%
2017,4,Bintang 1,"39,2",%
2017,5,Bintang 1,"47,2",%
2017,6,Bintang 1,"46,2",%
2017,7,Bintang 1,"36,2",%
2017,8,Bintang 1,"37,1",%
2017,9,Bintang 1,"39,1",%
2017,10,Bintang 1,"54,1",%
2017,11,Bintang 1,"25,1",%
2017,12,Bintang 1,"36,1",%
